ID,Heal,Gr,Va,Oi,Pt,Db,Vt
rankine:pancake_breakfast,12,0.004792017,0.004792017,0,0,0.002455419,0
supplementaries:pancake,5,0.003993348,0,0,0,0.001023091,0
frostedheart:rye_bread,6,0.003557208,0,0,0,0.00122771,0
frostedheart:rye_porridge,6,0.003557208,0,0,0,0.00122771,0
rankine:toast,6,0.003557208,0,0,0,0.00122771,0
frostedheart:black_bread,5,0.00296434,0,0,0,0.001023091,0
minecraft:bread,5,0.00296434,0,0,0,0.001023091,0
charcoal_pit:corn_stew,6,0.002396009,0,0.002396009,0,0.00122771,0.00122771
frostedheart:rye_sawdust_porridge,6,0.002164848,0,0,0,0.001497505,0
rankine:cinnamon_toast,7,0.002075038,0.002075038,0,0,0,0
crockpot:froggle_bunwich,7,0.002075038,0,0,0.002075038,0,0.002864656
create:sweet_roll,6,0.001778604,0,0,0.001778604,0.00122771,0.00122771
rankine:pancake,3,0.001778604,0,0,0,0.000613855,0
charcoal_pit:fugu,5,0.001317805,0.001317805,0,0.001317805,0.001023091,0.001023091
frozenup:truffle_muffin,4,0.001185736,0.001185736,0,0,0.000654778,0
minecraft:cookie,2,0.001185736,0,0,0,0.000409237,0
rankine:cake_slice,2,0.001185736,0,0,0,0.000409237,0
charcoal_pit:cooked_sushi,6,0.001173879,0.001173879,0,0.001173879,0.00122771,0.00122771
charcoal_pit:sushi,5,0.000978232,0.000978232,0,0.000978232,0.001023091,0.001023091
crockpot:popcorn,3,0.000889302,0,0.000729082,0,0.000613855,0
charcoal_pit:corn,3,0.000889302,0,0.000889302,0,0.000613855,0
crockpot:corn,3,0.000660146,0,0.000660146,0,0.000677957,0
minecraft:cake,2,0.000592868,0,0,0.000592868,0.000654778,0.000654778
charcoal_pit:popcorn,1,0.000592868,0,0,0,0.000204618,0
frozenup:truffle_cake,2,0.000592868,0,0.000486055,0,0.000818473,0
rankine:popcorn,2,0.000592868,0,0.000486055,0,0.000409237,0
minecraft:wheat,3,0.001778604,0,0,0,0.000613855,0
rankine:rice,3,0.001778604,0,0,0,0.000613855,0
rankine:inner_bark,1,0.000592868,0,0,0,0,0
rankine:pancake_batter,1,0.000296434,0,0,0.000296434,0.000297627,0.000297627
frozenup:mug_of_truffle_hot_chocolate,3,0.000889302,0,0.000729082,0,0,0.00122771
rankine:corn_ear,1,0.000296434,0,0.000296434,0,0.000204618,0
create:honeyed_apple,8,0,0.006389357,0,0,0.002892616,0
crockpot:pow_cake,2,0,0.006022804,0,0,0.000409237,0
crockpot:pumpkin_cookie,10,0,0.00592868,0,0,0.001636946,0
crockpot:fruit_medley,8,0,0.004742944,0,0,0.002619114,0
minecraft:pumpkin_pie,8,0,0.004742944,0,0,0.001309557,0
crockpot:moqueca,14,0,0.004361383,0,0.004361383,0,0.004601889
crockpot:stuffed_eggplant,7,0,0.004150076,0,0,0,0
rankine:fruit_jam,7,0,0.004150076,0,0,0.003163798,0
crockpot:gazpacho,6,0,0.003738328,0,0,0,0
crockpot:mushy_cake,6,0,0.003738328,0,0,0.00122771,0
crockpot:veg_stinger,6,0,0.003738328,0,0,0,0
crockpot:turkey_dinner,12,0,0.003557208,0,0.003557208,0,0.003571519
charcoal_pit:beet_stew,6,0,0.003557208,0,0,0,0
charcoal_pit:mooshroom_stew,6,0,0.003557208,0,0,0,0
crockpot:flower_salad,6,0,0.003557208,0,0,0,0
crockpot:jammy_preserves,6,0,0.003557208,0,0,0.001964335,0
crockpot:ratatouille,6,0,0.003557208,0,0,0,0
minecraft:beetroot_soup,6,0,0.003557208,0,0,0,0
minecraft:golden_carrot,6,0,0.003557208,0,0,0,0
minecraft:mushroom_stew,6,0,0.003557208,0,0,0,0
charcoal_pit:farfetch_stew,8,0,0.003194678,0,0.003194678,0,0.002381013
crockpot:california_roll,10,0,0.003115274,0,0.003115274,0.002046183,0.002046183
minecraft:rabbit_stew,10,0,0.00296434,0,0.00296434,0,0.004092365
crockpot:cooked_eggplant,5,0,0.00296434,0,0,0,0
crockpot:taffy,5,0,0.00296434,0,0,0.002046183,0
crockpot:watermelon_icle,5,0,0.00296434,0,0,0.000818473,0
minecraft:baked_potato,5,0,0.00296434,0,0,0,0
crockpot:seafood_gumbo,9,0,0.002803746,0,0.002803746,0,0.001473252
create:chocolate_glazed_berries,7,0,0.002795343,0.002795343,0,0.003163798,0
crockpot:hot_chili,9,0,0.002667906,0,0.002667906,0,0.002678639
charcoal_pit:dragon_fruit,6,0,0.002640585,0,0,0.002169462,0
frozenup:truffle,6,0,0.003557208,0,0,0.001084731,0
minecraft:honey_bottle,6,0,0.003557208,0,0,0.002711827,0
crockpot:asparagus_soup,4,0,0.002492219,0,0,0,0
crockpot:potato_souffle,8,0,0.002492219,0,0,0.001636946,0
charcoal_pit:rabbit_stew,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:fish_tacos,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:perogies,8,0,0.002371472,0,0.002371472,0,0.002381013
crockpot:pepper_popper,8,0,0.002371472,0,0.002371472,0,0.001309557
watersource:coconut_chicken,8,0,0.002371472,0,0.002371472,0,0
crockpot:potato_tornado,8,0,0.002371472,0,0,0.001636946,0
minecraft:golden_apple,4,0,0.002371472,0,0,0.001309557,0
rankine:pina_colada,4,0,0.002371472,0,0,0.001309557,0
charcoal_pit:banana,5,0,0.00296434,0,0,0.001807885,0
crockpot:ceviche,7,0,0.002180692,0,0.002180692,0,0.002083386
crockpot:iced_tea,3,0,0.001869164,0,0,0.000542365,0
frostedheart:vegetable_soup,6,0,0.001778604,0,0,0.000982168,0
minecraft:apple,4,0,0.002371472,0,0,0.000723154,0
minecraft:chorus_fruit,4,0,0.002371472,0,0,0.000723154,0
charcoal_pit:kebabs,5,0,0.00148217,0,0.00148217,0,0.001643532
crockpot:salmon_sushi,5,0,0.00148217,0,0.00148217,0.001023091,0
rankine:trail_mix,5,0,0.001636946,0.001996674,0,0.001636946,0
crockpot:asparagus,3,0,0.001320292,0,0,0,0
crockpot:eggplant,3,0,0.001320292,0,0,0,0
crockpot:onion,3,0,0.001320292,0,0,0,0
crockpot:pepper,3,0,0.001320292,0,0,0,0
crockpot:tea,3,0,0.001778604,0,0,0,0
crockpot:tomato,3,0,0.001320292,0,0,0,0
frostedheart:white_turnip_block,3,0,0.001320292,0,0,0,0
minecraft:carrot,3,0,0.001320292,0,0,0,0
minecraft:enchanted_golden_apple,4,0,0.002371472,0,0,0.001309557,0
rankine:roasted_asparagus,2,0,0.001185736,0,0,0,0
rankine:toasted_coconut,2,0,0.001185736,0,0,0.000654778,0
minecraft:suspicious_stew,6,0,0.001082424,0,0.001082424,0,0.00217819
frostedheart:vegetable_sawdust_soup,6,0,0.001082424,0,0,0.001198004,0
minecraft:poisonous_potato,2,0,0.000880195,0,0,0,0.000361577
charcoal_pit:cherry,2,0,0.000880195,0,0,0.000723154,0
minecraft:sweet_berries,2,0,0.000880195,0,0,0.000361577,0
rankine:pineapple,2,0,0.000880195,0,0,0.000723154,0
watersource:coconut_piece,2,0,0.000880195,0,0,0.000723154,0
crockpot:syrup,3,0,0.001778604,0,0,0.00122771,0
frostedheart:wolfberries,3,0,0.001778604,0,0,0.000491084,0
minecraft:dried_kelp,1,0,0.000592868,0,0,0,0
minecraft:sugar,3,0,0,0,0,0.00122771,0
rankine:maple_syrup,1,0,0.000592868,0,0,0.000451971,0
supplementaries:candy,3,0,0.001778604,0,0,0.001355914,0
charcoal_pit:leek,3,0,0.001320292,0,0,0,0
minecraft:acacia_leaves,1,0,0.000592868,0,0,0,0
minecraft:allium,2,0,0.001185736,0,0,0,0
minecraft:azure_bluet,2,0,0.001185736,0,0,0,0
minecraft:bamboo,1,0,0.000592868,0,0,0,0
minecraft:beetroot,1,0,0.000592868,0,0,0,0
minecraft:beetroot_seeds,1,0,0.000592868,0,0,0,0
minecraft:birch_leaves,1,0,0.000592868,0,0,0,0
minecraft:blue_orchid,1,0,0.000592868,0,0,0,0
minecraft:brown_mushroom,2,0,0.001185736,0,0,0,0
minecraft:cactus,2,0,0.001185736,0,0,0,0
minecraft:cornflower,1,0,0.000592868,0,0,0,0
minecraft:crimson_fungus,2,0,0.001185736,0,0,0,0
minecraft:crimson_roots,2,0,0.001185736,0,0,0,0
minecraft:dandelion,1,0,0.000592868,0,0,0,0
minecraft:dark_oak_leaves,1,0,0.000592868,0,0,0,0
minecraft:honeycomb,2,0,0.001185736,0,0,0.000903942,0
minecraft:jungle_leaves,1,0,0.000592868,0,0,0,0
minecraft:kelp,2,0,0.001185736,0,0,0,0
minecraft:lilac,1,0,0.000592868,0,0,0,0
minecraft:lily_of_the_valley,1,0,0.000592868,0,0,0,0
minecraft:lily_pad,1,0,0.000592868,0,0,0,0
minecraft:melon,3,0,0.001778604,0,0,0.001084731,0
minecraft:melon_seeds,1,0,0.000592868,0,0,0,0
minecraft:melon_slice,2,0,0.001185736,0,0,0.000723154,0
minecraft:nether_wart,2,0,0.001185736,0,0,0,0
minecraft:oak_leaves,1,0,0.000592868,0,0,0,0
minecraft:orange_tulip,1,0,0.000592868,0,0,0,0
minecraft:oxeye_daisy,1,0,0.000592868,0,0,0,0
minecraft:peony,1,0,0.000592868,0,0,0,0
minecraft:pink_tulip,1,0,0.000592868,0,0,0,0
minecraft:poppy,1,0,0.000592868,0,0,0,0
minecraft:potato,1,0,0.000592868,0,0,0,0
minecraft:pumpkin,3,0,0.001778604,0,0,0,0
minecraft:pumpkin_seeds,1,0,0.000592868,0,0,0,0
minecraft:red_mushroom,2,0,0.001185736,0,0,0,0
minecraft:red_tulip,1,0,0.000592868,0,0,0,0
minecraft:sea_pickle,2,0,0.001185736,0,0,0,0
minecraft:seagrass,2,0,0.001185736,0,0,0,0
minecraft:shroomlight,3,0,0.001778604,0,0,0,0
minecraft:sunflower,2,0,0.001185736,0,0,0,0
minecraft:warped_fungus,2,0,0.001185736,0,0,0,0
minecraft:warped_roots,1,0,0.000592868,0,0,0,0
minecraft:wheat_seeds,1,0,0.000592868,0,0,0,0
minecraft:white_tulip,1,0,0.000592868,0,0,0,0
minecraft:wither_rose,1,0,0.000592868,0,0,0,0
rankine:aloe,1,0,0.000592868,0,0,0,0
rankine:asparagus,1,0,0.000592868,0,0,0,0
rankine:balsam_fir_leaves,1,0,0.000592868,0,0,0,0
rankine:banana_yucca,1,0,0.000592868,0,0,0.000180788,0
rankine:black_birch_leaves,1,0,0.000592868,0,0,0,0
rankine:black_walnut_leaves,1,0,0.000592868,0,0,0,0
rankine:blackberries,1,0,0.000440097,0,0,0.000361577,0
rankine:blueberries,1,0,0.000440097,0,0,0.000361577,0
rankine:cedar_leaves,1,0,0.000592868,0,0,0,0
rankine:cinnamon_leaves,1,0,0.000592868,0,0,0,0
rankine:coconut,1,0,0.000440097,0,0,0.000361577,0
rankine:coconut_palm_leaves,1,0,0.000592868,0,0,0,0
rankine:cork_oak_leaves,1,0,0.000592868,0,0,0,0
rankine:cranberries,1,0,0.000440097,0,0,0.000361577,0
rankine:eastern_hemlock_leaves,1,0,0.000592868,0,0,0,0
rankine:elderberries,1,0,0.000440097,0,0,0.000180788,0
rankine:juniper_berries,1,0,0.000440097,0,0,0.000180788,0
rankine:juniper_leaves,1,0,0.000592868,0,0,0,0
rankine:magnolia_leaves,1,0,0.000592868,0,0,0,0
rankine:maple_leaves,1,0,0.000592868,0,0,0,0
rankine:pinyon_pine_leaves,1,0,0.000592868,0,0,0,0
rankine:raspberries,1,0,0.000440097,0,0,0.000180788,0
rankine:sharinga_leaves,1,0,0.000592868,0,0,0,0
rankine:snowberries,1,0,0.000440097,0,0,0.000361577,0
rankine:strawberries,1,0,0.000440097,0,0,0.000361577,0
crockpot:bone_stew,20,0,0,0,0.01185736,0,0.005952531
crockpot:bacon_eggs,12,0,0,0,0.007114416,0,0.003571519
crockpot:honey_ham,12,0,0,0,0.007114416,0.003571519,0.003571519
crockpot:bone_soup,10,0,0,0,0.006230547,0,0.003287063
stone_age:cooked_tiger_meat,10,0,0,0,0.00592868,0,0.004092365
stone_age:cooked_rhino_meat,9,0,0,0,0.005335812,0,0.003683129
rankine:cooked_tuna,8,0,0,0,0.004742944,0,0.003273892
minecraft:cooked_beef,8,0,0,0,0.004742944,0,0.002381013
minecraft:cooked_porkchop,8,0,0,0,0.004742944,0,0.002381013
stone_age:cooked_mammoth_meat,8,0,0,0,0.004742944,0,0.003273892
crockpot:honey_nuggets,8,0,0,0,0.004742944,0.002619114,0.002619114
crockpot:coocked_hoglin_nose,8,0,0,0,0.004742944,0,0.003273892
crockpot:fish_sticks,7,0,0,0,0.004150076,0,0.002083386
crockpot:kabobs,7,0,0,0,0.004150076,0,0.002083386
stone_age:cooked_boar_meat,7,0,0,0,0.004150076,0,0.002864656
minecraft:cooked_chicken,6,0,0,0,0.003557208,0,0.001785759
minecraft:cooked_mutton,6,0,0,0,0.003557208,0,0.001785759
minecraft:cooked_salmon,6,0,0,0,0.003557208,0,0.001785759
stone_age:cooked_mouflon_meat,6,0,0,0,0.003557208,0,0.002455419
rankine:cocked_tofu,6,0,0,0,0.003557208,0,0
crockpot:meat_balls,9,0,0,0,0.003247272,0,0.004492516
rankine:tofu_curry,10,0,0,0,0.003115274,0,0
crockpot:cooked_frog_legs,5,0,0,0,0.00296434,0,0.001488133
minecraft:cooked_cod,5,0,0,0.000592868,0.002371472,0,0.001488133
minecraft:cooked_rabbit,5,0,0,0,0.00296434,0,0.002046183
stone_age:cooked_auroch_meat,5,0,0,0,0.00296434,0,0.002046183
charcoal_pit:cheese,5,0,0,0,0.00296434,0,0.001636946
crockpot:monster_tartare,8,0,0,0,0.002886464,0,0.003993348
crockpot:monster_lasagna,7,0,0,0,0.002525656,0,0.003494179
crockpot:surf_n_turf,8,0,0,0,0.002492219,0,0.002381013
charcoal_pit:cooked_calamari,4,0,0,0,0.002371472,0,0.001190506
charcoal_pit:cooked_egg,4,0,0,0,0.002371472,0,0.001190506
charcoal_pit:turtle_cooked,4,0,0,0,0.002371472,0,0.001636946
crockpot:ice_cream,4,0,0,0,0.002371472,0.001636946,0.001636946
stone_age:cooked_fowl_meat,4,0,0,0,0.002371472,0,0.001636946
rankine:tofu,4,0,0,0,0.002371472,0,0
stone_age:tiger_meat,5,0,0,0,0.002200487,0,0.002259856
crockpot:tropical_bouillabaisse,7,0,0,0,0.002180692,0,0.002083386
stone_age:cooked_venison,3,0,0,0,0.001778604,0,0.00122771
stone_age:mammoth_meat,4,0,0,0,0.00176039,0,0.001807885
stone_age:rhino_meat,4,0,0,0,0.00176039,0,0.001807885
minecraft:rotten_flesh,4,0,0,0,0.001443232,0,0.001996674
rankine:tuna,3,0,0,0,0.001320292,0,0.001355914
minecraft:beef,3,0,0,0,0.001320292,0,0.000986119
minecraft:porkchop,3,0,0,0,0.001320292,0,0.000986119
minecraft:rabbit,3,0,0,0,0.001320292,0,0.001355914
stone_age:boar_meat,3,0,0,0,0.001320292,0,0.001355914
stone_age:mouflon_meat,3,0,0,0,0.001320292,0,0.001355914
crockpot:hoglin_nose,3,0,0,0,0.001320292,0,0.001355914
charcoal_pit:cooked_chestnut,4,0,0,0.001185736,0.001185736,0,0.000654778
rankine:cheese,2,0,0,0,0.001185736,0,0.000723154
stone_age:cooked_fat,2,0,0,0,0.001185736,0,0.000818473
charcoal_pit:turtle_raw,2,0,0,0,0.000880195,0,0.000903942
crockpot:frog_legs,2,0,0,0,0.000880195,0,0.000903942
minecraft:chicken,2,0,0,0,0.000880195,0,0.000657413
minecraft:cod,2,0,0,0.000176039,0.000704156,0,0.000903942
minecraft:mutton,2,0,0,0,0.000880195,0,0.000657413
minecraft:salmon,2,0,0,0,0.000880195,0,0.000657413
stone_age:auroch_meat,2,0,0,0,0.000880195,0,0.000903942
stone_age:fowl_meat,2,0,0,0,0.000880195,0,0.000903942
rankine:aged_cheese,1,0,0,0,0.000592868,0,0.000361577
frozenup:mug_of_chocolate_milk,1,0,0,0,0.000592868,0,0.000409237
minecraft:fermented_spider_eye,1,0,0,0,0.000592868,0,0.000409237
rankine:unaged_cheese,1,0,0,0,0.000592868,0,0.000327389
frozenup:mug_of_milk,1,0,0,0,0.000592868,0,0.000327389
charcoal_pit:calamari,2,0,0,0,0.000880195,0,0.000903942
minecraft:bone,1,0,0,0,0.000592868,0,0.000451971
minecraft:egg,3,0,0,0,0.001778604,0,0.001355914
minecraft:ink_sac,1,0,0,0,0.000592868,0,0.000451971
minecraft:milk_bucket,1,0,0,0,0.000592868,0,0.000361577
minecraft:pufferfish,1,0,0,0,0.000440097,0,0.000451971
minecraft:tropical_fish,1,0,0,8.80195E-05,0.000352078,0,0.000451971
minecraft:turtle_egg,3,0,0,0,0.001778604,0,0.001355914
stone_age:fat,1,0,0,0,0.000440097,0,0.000451971
stone_age:venison,1,0,0,0,0.000440097,0,0.000451971
charcoal_pit:chestnut,3,0,0,0,0.001320292,0,0.000542365
minecraft:spider_eye,2,0,0,0,0.000721616,0,0.000998337
charcoal_pit:choco_powder,1,0,0,0.000592868,0,0.000451971,0
charcoal_pit:chocolate,4,0,0,0,0.003194678,0,0.000935398
charcoal_pit:coconut,4,0,0,0.00176039,0,0.001446308,0
create:bar_of_chocolate,6,0,0,0.004792017,0,0.002711827,0
crockpot:avaj,2,0,0,0.001246109,0,0.000903942,0
crockpot:candy,3,0,0,0,0,0.00122771,0
crockpot:hot_cocoa,2,0,0,0.001246109,0,0.000818473,0
crockpot:salsa,7,0,0,0,0,0,0
minecraft:cocoa_beans,2,0,0,0.001185736,0,0.000903942,0
minecraft:rose_bush,1,0,0,0.000592868,0,0,0
minecraft:spruce_leaves,1,0,0,0,0,0,0
rankine:black_walnut,1,0,0,0.000444651,0,0,0
rankine:roasted_walnut,1,0,0,0.000592868,0,0,0
rankine:yellow_birch_leaves,1,0,0,0,0,0,0
rankine:amaranth,3,0,0.001778604,0,0,0,0
rankine:barley,3,0.001778604,0,0,0,0.000613855,0
rankine:bean,3,0.001778604,0,0,0,0.000613855,0
rankine:chickpea,3,0.001422883,0,0.001778604,0,0.000613855,0
rankine:corn,3,0.007114416,0,0.001778604,0,0.000613855,0
rankine:lentil,3,0.001778604,0,0,0,0.000613855,0
rankine:millet,3,0.001778604,0,0,0,0.000613855,0
rankine:oats,3,0.001778604,0,0,0,0.000613855,0
rankine:quinoa,3,0.001778604,0,0,0,0.000613855,0
rankine:rye,3,0.001778604,0,0,0,0.000613855,0
rankine:soybean,3,0.001778604,0,0,0,0.000613855,0
frostedheart:military_rations,6,0.000867785,0.000711442,0.000583266,0.000958403,0.00122771,0
frostedheart:compressed_biscuits,5,0.002892616,0,0,0,0.001023091,0
frostedheart:compressed_biscuits_pack,5,0.002892616,0,0,0,0.001023091,0
frostedheart:packed_nuts,2,0,0,0.001597339,0,0.000409237,0
frostedheart:dried_vegetables,4,0,0.002314093,0,0,0,0
